date,nav_net,nav_gross
2020-01-24,128267.88620231903,137250.72268834387
2020-01-27,128545.33719356291,137528.17367958775
2020-01-28,128269.45285073164,137252.28933675648
2020-01-29,128560.33732567303,137543.17381169787
2020-01-30,128938.9993047012,137921.83579072604
2020-01-31,128302.66327466146,137285.49976068633
2020-02-03,128042.24227055097,137025.07875657585
2020-02-04,127271.90205299048,136254.73853901538
2020-02-05,128916.9023840306,137899.7388700555
2020-02-06,129549.50667116944,138532.34315719435
2020-02-07,129884.92365337435,138867.76013939927
2020-02-10,130421.71970708563,139404.55619311056
2020-02-11,131455.10012231607,140437.936608341
2020-02-12,131784.5774449709,140767.41393099583
2020-02-13,131783.4362310283,140766.27271705322
2020-02-14,132432.96822244898,141415.8047084739
2020-02-18,132328.7019614222,141311.53844744712
2020-02-19,130874.03311612495,139856.86960214988
2020-02-20,130954.42849048351,139937.26497650845
2020-02-21,131678.89045462763,140661.7269406526
2020-02-24,131443.6522467319,140426.48873275684
2020-02-25,129099.36114893893,138082.1976349639
2020-02-26,127354.5071538126,136337.34363983758
2020-02-27,126014.57881075768,134997.41529678265
2020-02-28,124270.27679216683,133253.1132781918
2020-03-02,124575.38012537979,133558.21661140476
2020-03-03,127298.00709612506,136280.84358215003
2020-03-04,127272.7636562622,136255.60014228718
2020-03-05,129251.28620303699,138234.12268906197
2020-03-06,129927.58518903694,138910.42167506192
2020-03-09,130618.87957935274,139601.71606537772
2020-03-10,128005.6774600681,136988.5139460931
2020-03-11,127132.09173345345,136114.92821947843
2020-03-12,124557.68526807883,133540.5217541038
2020-03-13,122228.82865695267,131211.66514297764
2020-03-16,123199.99444617245,132182.83093219742
2020-03-17,122390.7417746974,131373.57826072237
2020-03-18,120299.81181756764,129282.6483035926
2020-03-19,119374.90501317983,128357.7414992048
2020-03-20,121845.83026911132,130828.66675513629
2020-03-23,125232.16905540248,134215.00554142744
2020-03-24,127805.35018673308,136788.18667275802
2020-03-25,126951.46537505144,135934.30186107638
2020-03-26,127931.09268151218,136913.9291675371
2020-03-27,127959.77545758102,136942.61194360597
2020-03-30,128389.26644350526,137372.1029295302
2020-03-31,126459.92734771484,135442.7638337398
2020-04-01,127309.46011537004,136292.296601395
2020-04-02,128349.17595978534,137332.0124458103
2020-04-03,128711.84205036171,137694.6785363867
2020-04-06,130197.52294184391,139180.35942786888
2020-04-07,129558.87521717462,138541.71170319957
2020-04-08,128895.591868899,137878.42835492396
2020-04-09,130730.22070469512,139713.05719072008
2020-04-13,131735.13232360192,140717.96880962688
2020-04-14,132353.28637712894,141336.1228631539
2020-04-15,132576.30493597273,141559.1414219977
2020-04-16,132586.31744650402,141569.15393252898
2020-04-17,131098.0036669095,140080.84015293446
2020-04-20,131742.01333427287,140724.84982029782
2020-04-21,131464.10892631553,140446.9454123405
2020-04-22,132573.53758919443,141556.37407521938
2020-04-23,133292.16095578653,142274.9974418115
2020-04-24,133000.11183794684,141982.9483239718
2020-04-27,132217.62611527092,141200.46260129588
2020-04-28,132211.91459874544,141194.7510847704
2020-04-29,132537.7066209162,141520.54310694116
2020-04-30,131203.96893048132,140186.80541650628
2020-05-01,131688.21651404034,140671.0530000653
2020-05-04,131924.1534828733,140906.98996889827
2020-05-05,132149.38272979518,141132.21921582014
2020-05-06,131075.5971421197,140058.43362814464
2020-05-07,132453.68566841242,141436.52215443738
2020-05-08,131849.0882087294,140831.92469475436
2020-05-11,131264.6228767637,140247.45936278865
2020-05-12,131728.4400244008,140711.27651042576
2020-05-13,132481.8198717036,141464.65635772856
2020-05-14,133158.8329907514,142141.66947677635
2020-05-15,133485.9496160148,142468.78610203977
2020-05-18,132585.12065811388,141567.95714413884
2020-05-19,133398.8501428917,142381.68662891665
2020-05-20,133571.77520719284,142554.6116932178
2020-05-21,132649.42708060538,141632.26356663034
2020-05-22,133131.92077390908,142114.75725993403
2020-05-26,132029.2835452442,141012.12003126915
2020-05-27,132199.33033564145,141182.1668216664
2020-05-28,132356.88825827328,141339.72474429823
2020-05-29,132357.2793944394,141340.11588046435
2020-06-01,133987.60697114342,142970.44345716838
2020-06-02,132470.8701021658,141453.70658819075
2020-06-03,132252.818543859,141235.65502988396
2020-06-04,132686.07374384475,141668.9102298697
2020-06-05,131883.7335560486,140866.57004207355
2020-06-08,132335.72865523762,141318.56514126257
2020-06-09,132646.24506262055,141629.0815486455
2020-06-10,133233.13611433122,142215.97260035618
2020-06-11,132018.96935692642,141001.80584295138
2020-06-12,132318.51323641284,141301.3497224378
2020-06-15,132202.82844040307,141185.66492642803
2020-06-16,132335.96954523015,141318.8060312551
2020-06-17,132283.56657808906,141266.403064114
2020-06-18,132144.36555162768,141127.20203765263
2020-06-19,132084.8146983257,141067.65118435066
2020-06-22,132974.17926699144,141957.0157530164
2020-06-23,133097.53104643247,142080.36753245743
2020-06-24,132383.15283100354,141365.9893170285
2020-06-25,132269.01438696412,141251.85087298907
2020-06-26,131670.53685349374,140653.3733395187
2020-06-29,132145.1835423432,141128.02002836816
2020-06-30,132409.34518123753,141392.18166726248
2020-07-01,132648.78093824934,141631.6174242743
2020-07-02,132506.9980520147,141489.83453803966
2020-07-06,133607.0956215762,142589.93210760117
2020-07-07,133281.223745343,142264.06023136797
2020-07-08,134041.32822245904,143024.164708484
2020-07-09,133396.3225768138,142379.15906283876
2020-07-10,133466.65618501487,142449.49267103983
2020-07-13,133210.43823861473,142193.2747246397
2020-07-14,133819.80512526637,142802.64161129133
2020-07-15,133898.69142248848,142881.52790851344
2020-07-16,133469.50017085698,142452.33665688193
2020-07-17,134050.4147817141,143033.25126773905
2020-07-20,134274.8315353585,143257.66802138346
2020-07-21,135396.6872252786,144379.52371130357
2020-07-22,136654.93121228588,145637.76769831084
2020-07-23,136977.58864062154,145960.4251266465
2020-07-24,136828.2025110954,145811.03899712037
2020-07-27,142789.69894142944,151772.5354274544
2020-07-28,142794.8686870592,151777.70517308416
2020-07-29,144098.6153070153,153081.45179304027
2020-07-30,143780.78531778508,152763.62180381003
2020-07-31,144765.81117569815,153748.6476617231
2020-08-03,144578.2721274948,153561.10861351975
2020-08-04,145497.193019956,154480.02950598096
2020-08-05,147406.75946065295,156389.5959466779
2020-08-06,148134.6473443782,157117.48383040316
2020-08-07,147127.85075977945,156110.6872458044
2020-08-10,147805.02878948222,156787.86527550718
2020-08-11,143876.55188735836,152859.38837338332
2020-08-12,144533.38546446807,153516.22195049303
2020-08-13,145847.66457098376,154830.50105700872
2020-08-14,145632.96220512374,154615.7986911487
2020-08-17,148132.94464530147,157115.78113132642
2020-08-18,147704.91313482626,156687.74962085122
2020-08-19,145518.8866000366,154501.72308606157
2020-08-20,146237.54472490583,155220.3812109308
2020-08-21,144954.16013072504,153936.99661675
2020-08-24,145504.8273390712,154487.66382509616
2020-08-25,144243.22595914366,153226.06244516862
2020-08-26,145140.4133618267,154123.24984785166
2020-08-27,144237.455758593,153220.29224461794
2020-08-28,145788.33116890563,154771.16765493058
2020-08-31,146281.56053441338,155264.39702043834
2020-09-01,147316.89755079008,156299.73403681503
2020-09-02,145634.12250869535,154616.9589947203
2020-09-03,140308.11755728445,149290.9540433094
2020-09-04,141118.5988783549,150101.43536437987
2020-09-08,139011.10363368134,147993.9401197063
2020-09-09,140398.95371099983,149381.7901970248
2020-09-10,140167.19593169782,149150.03241772277
2020-09-11,140383.40426819248,149366.24075421743
2020-09-14,142280.72653974663,151263.56302577158
2020-09-15,142801.25978978915,151784.0962758141
2020-09-16,143570.24255159238,152553.07903761734
2020-09-17,143047.7285195974,152030.56500562237
2020-09-18,142682.55651044004,151665.392996465
2020-09-21,139686.97516680538,148669.81165283034
2020-09-22,140036.77184369668,149019.60832972164
2020-09-23,137206.1225358694,146188.95902189435
2020-09-24,139251.43592779804,148234.272413823
2020-09-25,139371.50560289717,148354.34208892213
2020-09-28,140158.21283978363,149141.0493258086
2020-09-29,140764.76426423423,149747.60075025918
2020-09-30,140466.65813596366,149449.49462198862
2020-10-01,140412.94375649354,149395.7802425185
2020-10-02,140029.9274992744,149012.76398529936
2020-10-05,141169.17431747282,150152.01080349777
2020-10-06,139831.7859054955,148814.62239152045
2020-10-07,140356.08563433128,149338.92212035623
2020-10-08,141700.23221264526,150683.06869867022
2020-10-09,142997.52442147885,151980.3609075038
2020-10-12,144839.8352828508,153822.67176887576
2020-10-13,143688.55136438596,152671.38785041092
2020-10-14,143655.0106795631,152637.84716558806
2020-10-15,143797.62908650807,152780.46557253302
2020-10-16,143145.60574783143,152128.4422338564
2020-10-19,143891.89563431812,152874.73212034308
2020-10-20,144586.34949270292,153569.18597872788
2020-10-21,147739.3330701158,156722.16955614075
2020-10-22,147840.41274482018,156823.24923084513
2020-10-23,147741.40560867405,156724.242094699
2020-10-26,147573.46100344308,156556.29748946804
2020-10-27,149189.5903956875,158172.42688171245
2020-10-28,146172.3466495246,155155.18313554957
2020-10-29,146626.93069096672,155609.76717699168
2020-10-30,146831.40769807564,155814.2441841006
2020-11-02,147706.15619988184,156688.9926859068
2020-11-03,150470.1411455429,159452.97763156786
2020-11-04,151948.39847642256,160931.23496244752
2020-11-05,158817.08937149413,167799.9258575191
2020-11-06,158903.07829593035,167885.9147819553
2020-11-09,158959.11726104683,167941.9537470718
2020-11-10,159240.76463914214,168223.6011251671
2020-11-11,161244.94536971863,170227.78185574358
2020-11-12,162956.15441969907,171938.99090572403
2020-11-13,163884.8832521976,172867.71973822254
2020-11-16,166006.33206578318,174989.16855180814
2020-11-17,169360.13083107123,178342.9673170962
2020-11-18,169182.73764144062,178165.57412746557
2020-11-19,169351.2559082362,178334.09239426116
2020-11-20,171203.8894411842,180186.72592720916
2020-11-23,170567.5995188642,179550.43600488917
2020-11-24,173071.3932899683,182054.22977599327
2020-11-25,171948.545061416,180931.38154744095
2020-11-27,167254.29998122228,176237.13646724724
2020-11-30,174408.40434761636,183391.24083364132
2020-12-01,172391.7932710301,181374.62975705505
2020-12-02,173380.0783184314,182362.91480445635
2020-12-03,173997.70258930718,182980.53907533214
2020-12-04,172198.94913956037,181181.78562558533
2020-12-07,173464.11010238048,182446.94658840544
2020-12-08,171281.44281096404,180264.279296989
2020-12-09,171675.114603509,180657.95108953395
2020-12-10,170708.9377125305,179691.77419855545
2020-12-11,170188.84741404137,179171.68390006633
2020-12-14,173056.90795812156,182039.74444414652
2020-12-15,174031.55040557226,183014.3868915972
2020-12-16,179167.61210272022,188150.44858874517
2020-12-17,183714.62084559517,192697.45733162013
2020-12-18,184404.63354224645,193387.4700282714
2020-12-21,183224.77390409505,192207.61039012
2020-12-22,185308.1778166045,194291.01430262945
2020-12-23,184040.94133655744,193023.7778225824
2020-12-24,185378.35889046852,194361.19537649347
2020-12-28,193200.00114194304,202182.837627968
2020-12-29,193730.627126964,202713.46361298897
2020-12-30,197175.3228311806,206158.15931720554
2020-12-31,181668.19292812084,206962.43598595605
2021-01-04,187750.75217347153,213044.99523130673
2021-01-05,192418.96622095964,217713.20927879485
2021-01-06,199341.00209482314,224635.24515265835
2021-01-07,205463.17701638732,230757.42007422252
2021-01-08,207703.6949464368,232997.938004272
2021-01-11,199864.78460390287,225159.02766173807
2021-01-12,197171.99739961833,222466.24045745353
2021-01-13,202081.6520911271,227375.8951489623
2021-01-14,204511.26773744565,229805.51079528086
2021-01-15,200734.91373018065,226029.15678801585
2021-01-19,199786.6053214733,225080.8483793085
2021-01-20,199404.04704611853,224698.29010395374
2021-01-21,191605.55543760658,216899.7984954418
2021-01-22,193590.71035664683,218884.95341448204
2021-01-25,193201.4849609076,218495.7280187428
2021-01-26,193377.65347552986,218671.89653336507
2021-01-27,190546.49490957,215840.7379674052
2021-01-28,193655.20320772807,218949.44626556328
2021-01-29,193964.7310630592,219258.97412089442
2021-02-01,193545.4602128293,218839.7032706645
2021-02-02,195686.0379751725,220980.28103300772
2021-02-03,197352.3374130521,222646.5804708873
2021-02-04,197069.04526183967,222363.28831967487
2021-02-05,198251.3270818608,223545.570139696
2021-02-08,205324.76281405255,230619.00587188776
2021-02-09,205588.98050771013,230883.22356554534
2021-02-10,204167.30748907235,229461.55054690756
2021-02-11,206753.3276458195,232047.5707036547
2021-02-12,206463.49576968193,231757.73882751714
2021-02-16,207451.84976958318,232746.09282741838
2021-02-17,209680.29075972943,234974.53381756463
2021-02-18,209374.6609515385,234668.9040093737
2021-02-19,211544.72410689498,236838.9671647302
2021-02-22,210354.0363163051,235648.27937414031
2021-02-23,207118.67523000413,232412.91828783933
2021-02-24,207830.44236446667,233124.68542230187
2021-02-25,205816.0820446501,231110.3251024853
2021-02-26,204852.34532228057,230146.58838011578
2021-03-01,207945.14730697012,233239.39036480532
2021-03-02,206873.20315975172,232167.44621758693
2021-03-03,208087.89795827528,233382.1410161105
2021-03-04,206215.6102379419,231509.8532957771
2021-03-05,207232.21228428514,232526.45534212035
2021-03-08,209721.07845193183,235015.32150976703
2021-03-09,211777.9847161086,237072.2277739438
2021-03-10,212854.19249135818,238148.43554919338
2021-03-11,214231.84702254957,239526.09008038478
2021-03-12,214059.85119885133,239354.09425668654
2021-03-15,213407.5565247141,238701.7995825493
2021-03-16,214044.08422358736,239338.32728142256
2021-03-17,215195.97554141286,240490.21859924807
